Date,Open,High,Low,Close,Volume,Ticker
2024-04-01,268.6028242100601,268.65052176731564,265.87387166075604,267.3814697265625,2408800,MCD
2024-04-02,267.17160254319754,267.6296214876819,264.73844423922236,265.01513671875,2907700,MCD
2024-04-03,263.8987632705696,265.2250643277536,262.5438087292863,262.91595458984375,2748000,MCD
2024-04-04,263.5838336865985,263.5838336865985,257.5534116825601,257.7156066894531,4095100,MCD
2024-04-05,257.0763231516619,258.22132673416917,254.15649267375966,254.4713897705078,6816000,MCD
2024-04-08,254.99613726836938,256.37971579440017,253.6889097735137,255.30148315429688,3753200,MCD
2024-04-09,254.0228934505471,257.314840258643,253.33587973057,257.0953674316406,3934900,MCD
2024-04-10,254.73856243374888,256.66600407558843,252.96376464207813,256.3606872558594,3817500,MCD
2024-04-11,257.1526139097992,257.51520852543456,254.91027545999205,256.31292724609375,2519200,MCD
2024-04-12,255.63549330548065,255.94083923907706,254.3664120087041,255.1393280029297,2708400,MCD
2024-04-15,255.58778184505155,256.2175469508278,253.86071066441676,254.03248596191406,3686700,MCD
2024-04-16,253.9370292894317,254.75761367075455,253.00191835126915,253.2690887451172,2912900,MCD
2024-04-17,254.29011430610186,257.744256790669,253.35500321516523,257.5820617675781,3383100,MCD
2024-04-18,258.5648498535156,258.8606446315179,256.53243281025465,258.5648498535156,3402700,MCD
2024-04-19,259.54763625468337,259.74800676989406,258.0877356907989,259.5285339355469,3017100,MCD
2024-04-22,261.207896443104,263.8319027087425,259.843420173625,262.95404052734375,3129300,MCD
2024-04-23,264.13730083298304,264.6907149058979,261.6754890701644,264.1945495605469,3275700,MCD
2024-04-24,262.9159104129318,264.33763548670896,260.3873282242247,264.0704650878906,4071600,MCD
2024-04-25,264.32810032505836,266.9998335943341,262.1334882818955,262.9731750488281,4179800,MCD
2024-04-26,258.80335660153423,263.4597504174669,257.9827431566769,260.578125,3636500,MCD
2024-04-29,261.28426026887604,261.856776642544,260.1106322782188,261.01708984375,3148900,MCD
2024-04-30,252.21949137296116,264.1849691381866,250.59739573932788,260.53045654296875,6894400,MCD
2024-05-01,258.94653064369317,263.76514953695664,257.6774492636535,261.8567810058594,4843200,MCD
2024-05-02,261.9331175136736,263.65063744856195,260.215568459394,260.75946044921875,3084000,MCD
2024-05-03,261.58007987368967,262.03806966957717,256.57061264542676,257.9350891113281,2642100,MCD
2024-05-06,258.6411654931118,259.4236035214416,256.7137239027442,256.9617919921875,2481300,MCD
2024-05-07,257.66786780679405,258.2690084145761,254.75758899631344,255.24423217773438,3160000,MCD
2024-05-08,255.24427077886946,256.6087471816691,253.87024321596655,256.18890380859375,3259800,MCD
2024-05-09,256.1602744043663,256.1793767241967,254.78624686851535,255.6736602783203,3140000,MCD
2024-05-10,255.88354023507034,262.7631988330185,255.56864320311695,262.4006042480469,4983500,MCD
2024-05-13,262.7632370455269,264.06091351794595,258.71750554988,258.8892517089844,3840700,MCD
2024-05-14,259.652591701677,260.2728055883477,256.39882018739485,258.2594909667969,3143200,MCD
2024-05-15,258.68886054281546,261.79951030562074,257.8492029198984,261.3224182128906,2982500,MCD
2024-05-16,261.93312711866383,262.9350089308555,260.4159776593545,260.97894287109375,2339900,MCD
2024-05-17,261.503718260391,261.503718260391,258.507595028934,259.90069580078125,2454500,MCD
2024-05-20,259.2900088029956,259.6621546234891,255.03435536512262,255.59732055664062,2651100,MCD
2024-05-21,256.2080098600996,256.75187272548504,253.2786573660135,253.68894958496094,2362600,MCD
2024-05-22,253.68893009629497,254.59541666795172,252.42940005548414,253.593505859375,1906100,MCD
2024-05-23,252.9828386812393,253.45037957866833,245.79783347107914,246.11270141601562,5636200,MCD
2024-05-24,246.88557971684418,248.52677750038865,245.72147397363955,246.28443908691406,3382900,MCD
2024-05-28,245.59747275092127,246.95239793929818,241.07462007127603,241.92384338378906,4324700,MCD
2024-05-29,241.7520850687325,242.17192840386448,237.74451474558032,237.94488525390625,4029300,MCD
2024-05-30,239.1280944281449,241.37043304216505,238.64146574496593,240.52120971679688,3597800,MCD
2024-05-31,242.54408540598797,247.37225515388573,241.89523257552628,247.0287628173828,6125400,MCD
2024-06-03,247.7105989234739,249.65058365627706,245.47292829311388,249.45849609375,4342800,MCD
2024-06-04,249.06470506230363,252.6661265829809,248.9782744628206,252.310791015625,4592700,MCD
2024-06-05,251.13914673322572,251.36962834961287,248.41167347501028,249.68896484375,4136800,MCD
2024-06-06,250.57251954336533,251.41765785773353,248.6709583360369,250.39004516601562,3354300,MCD
2024-06-07,249.76584077462346,251.0431322926214,245.22323633119507,246.0587615966797,2290100,MCD
2024-06-10,245.85704725084486,245.85704725084486,243.11996098030878,243.75381469726562,2866200,MCD
2024-06-11,242.98552979863192,244.59897443287716,242.11159588656494,244.20521545410156,2729400,MCD
2024-06-12,244.78143827803106,246.15477340514596,243.36967977920486,244.39727783203125,3169600,MCD
2024-06-13,243.5425358119596,244.64698058473004,241.22801863201462,243.64817810058594,3153000,MCD
2024-06-14,242.8414695734536,243.5713524432721,240.68061651159567,243.53294372558594,2806600,MCD
2024-06-17,242.30366293364582,244.4357058230119,241.9003054483905,243.46571350097656,2532900,MCD
2024-06-18,243.88828679547368,244.2724472552276,239.4705514149772,240.85348510742188,2956300,MCD
2024-06-20,240.35409493698506,245.5593481923402,239.6241974013571,243.74423217773438,4046500,MCD
2024-06-21,248.04672635143598,251.10072502255687,245.48251577260157,249.11276245117188,8425800,MCD
2024-06-24,248.73819445128134,251.01428829802873,247.5857277729167,250.0635223388672,3901200,MCD
2024-06-25,249.8234309466807,249.8234309466807,245.46330143478303,247.18238830566406,3903800,MCD
2024-06-26,246.4813073464703,247.94110243770174,244.58935921516078,247.6145477294922,2796100,MCD
2024-06-27,247.77780847227123,248.5749102317185,246.78861916892512,247.9410858154297,2651000,MCD
2024-06-28,247.33604682252576,249.20876852184776,242.84146491979678,244.74301147460938,8958700,MCD
2024-07-01,244.7334214044948,245.22320949717866,239.82588334475136,240.08518981933594,3817600,MCD
2024-07-02,239.78745176696455,241.08396944129905,237.60740171451923,237.9723358154297,3944900,MCD
2024-07-03,238.65423403930663,241.0359703804599,238.34690565762295,240.0948028564453,2026100,MCD
2024-07-05,241.0551709544701,241.45852844616604,238.95193823373748,241.1416015625,2814300,MCD
2024-07-08,241.7850549439033,242.57257289856886,237.27127576864973,238.0299835205078,3163900,MCD
2024-07-09,237.43453730634673,237.59780000619702,233.88113732000792,236.08041381835938,4927300,MCD
2024-07-10,237.21364028135042,240.63258756987975,236.1572173981656,240.56536865234375,4092700,MCD
2024-07-11,241.26646110517166,245.5209338796885,239.969943337944,244.70462036132812,5546400,MCD
2024-07-12,244.17640957499555,246.74063491344668,241.83308200175344,243.84027099609375,4543000,MCD
2024-07-15,243.59057916046223,245.59776816698766,241.23765305653623,241.56417846679688,3393600,MCD
2024-07-16,241.05518454256784,247.11517508420118,240.19084910510082,247.07675170898438,4173000,MCD
2024-07-17,248.7093823606245,251.66733716023995,247.64334629496767,250.65895080566406,3711500,MCD
2024-07-18,247.80663900291714,251.93625775953532,247.39368298894465,249.2375946044922,3421800,MCD
2024-07-19,250.07314391982774,250.12115115452215,244.92549637402655,247.0863494873047,3470600,MCD
2024-07-22,248.06591537942643,249.4969002003156,246.24120091012304,249.25680541992188,2759500,MCD
