Date,Open,High,Low,Close,Volume,Ticker
2024-04-01,399.4118724594209,400.6292596341185,394.9258288034093,396.3732604980469,1863900,GS
2024-04-02,393.71801139758537,396.047329024519,390.72731581810626,393.1524658203125,1976000,GS
2024-04-03,393.96725264839506,399.3639376996814,393.96725264839506,396.8429260253906,1549200,GS
2024-04-04,400.6771781850962,401.63573602764427,388.8869284229004,389.41412353515625,1704700,GS
2024-04-05,389.7112597564565,392.18435528064487,384.83220402813384,391.15869140625,1694900,GS
2024-04-08,392.1459806546525,395.43382671042144,390.6601985931673,393.52630615234375,1181900,GS
2024-04-09,394.456133819376,396.09525948394605,390.1809449240064,393.68927001953125,1247200,GS
2024-04-10,387.26689323496873,388.6472186186336,380.82538452881903,384.1515808105469,1903300,GS
2024-04-11,383.8832110377622,384.83217383151543,378.47693138797433,381.0075378417969,2176200,GS
2024-04-12,376.5598069890391,377.758004125594,371.0768557220495,373.3486328125,2815800,GS
2024-04-15,390.1330627443469,395.75979290002925,382.16744898775664,384.2666931152344,6177000,GS
2024-04-16,387.68871804753434,388.18715757782184,378.802868424896,380.4132385253906,3459700,GS
2024-04-17,385.7236499151387,390.2480438666005,384.5542082379811,387.17108154296875,4373800,GS
2024-04-18,388.68557747583367,390.95735469086793,385.73323244071474,386.4042053222656,2776300,GS
2024-04-19,387.3148658646243,391.09158597134126,386.30839186657846,387.2573547363281,2805500,GS
2024-04-22,390.0755173582628,400.6580037664898,387.80374003008876,400.0541076660156,4165600,GS
2024-04-23,400.39922083800724,407.72261739304105,398.9518182697961,406.4285583496094,2662300,GS
2024-04-24,404.03211357525066,406.98445873438675,402.22042528795197,405.50830078125,1575900,GS
2024-04-25,403.54325863043323,406.0546755090081,397.65772866159307,402.6422119140625,1970100,GS
2024-04-26,402.8148048398323,410.77082386653257,402.24925917795576,409.8506164550781,2322700,GS
2024-04-29,409.85055051353095,415.3718233467969,409.4958888210151,412.9562683105469,2453000,GS
2024-04-30,410.742041352889,413.51228759848755,408.3456467125571,409.0262145996094,1829900,GS
2024-05-01,409.0069912206658,415.4676608188407,407.56915465707004,409.2562255859375,2310100,GS
2024-05-02,413.33012160167414,415.6785705834829,410.425692732367,414.6433410644531,2087500,GS
2024-05-03,416.9726064719999,423.9700660978573,416.8959347259761,420.02081298828125,2406300,GS
2024-05-06,423.4428814640403,425.9638929996206,421.4586599224017,425.2833251953125,1914300,GS
2024-05-07,426.7211771897868,428.8779321816251,424.51647675752383,425.4079284667969,2058200,GS
2024-05-08,424.4493908453296,429.45306383408143,423.7304724805829,428.42742919921875,2006700,GS
2024-05-09,427.84266875795623,437.5145130837628,427.84266875795623,436.6805725097656,2710200,GS
2024-05-10,437.60074593282417,439.7383401116989,435.49193656738277,435.88494873046875,1823900,GS
2024-05-13,437.36117230839574,438.25265332602953,434.5334442503295,434.76348876953125,1579600,GS
2024-05-14,435.9904014068694,442.6331995617968,435.19481134944715,439.469970703125,2412900,GS
2024-05-15,442.46062990373713,446.8700010215477,441.8471682084773,446.7741394042969,2217700,GS
2024-05-16,445.1254787730582,448.84468769969845,443.1220964909994,445.2692565917969,2070300,GS
2024-05-17,447.0522059385742,449.2377166233173,445.0104730779201,448.336669921875,1655900,GS
2024-05-20,448.7967842500651,451.9408527381318,443.42885459284156,443.7547607421875,2591500,GS
2024-05-21,443.0741656464271,451.77785726957086,443.04541008363054,450.9151611328125,2762600,GS
2024-05-22,447.9915556252705,450.83847343760925,440.69694486956473,443.21795654296875,2729500,GS
2024-05-23,444.99131709837525,445.0679888544021,438.45394560148156,439.16326904296875,2254500,GS
2024-05-24,440.78322402104124,445.96902533267394,440.0739005958292,442.06768798828125,1932200,GS
2024-05-28,440.8791032859084,444.4736952512654,439.8917898628716,440.7544860839844,1930800,GS
2024-05-29,435.99042092475895,439.72879044859707,432.9326192398198,438.223876953125,2315700,GS
2024-05-30,436.8544598345423,439.61251139280176,431.64692911322106,434.1831970214844,2135000,GS
2024-05-31,433.7299786332619,440.49011311266884,432.1484162378064,440.2490234375,2638300,GS
2024-06-03,442.5152559190956,442.5152559190956,434.15428277391925,438.763916015625,1930700,GS
2024-06-04,434.44359972036165,441.39661779294147,433.19956874161386,439.072509765625,1835000,GS
2024-06-05,441.24229169445414,446.51733472491446,441.19408553356516,445.22509765625,1678900,GS
2024-06-06,445.3600896811377,447.96384020792703,440.7215272323752,441.7726745605469,1598000,GS
2024-06-07,439.20748950344586,444.723621952582,438.30099005191767,438.6963806152344,1736100,GS
2024-06-10,436.20833843881763,439.1303439927819,434.25069154200185,437.3848571777344,1698600,GS
2024-06-11,434.9643658047035,435.755117589286,427.57737446950074,428.4356384277344,1938200,GS
2024-06-12,439.3618328652579,441.3291328682215,430.28721389935345,432.707763671875,1733000,GS
2024-06-13,430.8079588057443,432.341285557898,426.391179620897,430.4414978027344,1849100,GS
2024-06-14,426.2368621266421,432.2544799996334,423.49808714472056,430.54754638671875,1559100,GS
