Date,Open,High,Low,Close,Volume,Ticker
2024-04-01,799.6324247688282,799.7665121187673,790.304761602622,791.77001953125,395900,BLK
2024-04-02,790.5537797973259,790.946397385484,775.7099474692113,782.02099609375,530700,BLK
2024-04-03,780.9292083048969,791.1092085172268,779.1192044775694,780.3067016601562,369600,BLK
2024-04-04,787.5659302819371,791.5306843720394,756.729051444478,758.5582275390625,1189400,BLK
2024-04-05,760.0330078413547,770.2225952901333,756.6715884603997,763.796630859375,687300,BLK
2024-04-08,767.5888341451047,773.3539464455072,763.0973761422938,769.3126220703125,760200,BLK
2024-04-09,772.0995462543949,772.0995462543949,760.5596750852368,769.8682250976562,802100,BLK
2024-04-10,760.1860970648493,761.4693959391338,747.8609334470221,750.4754028320312,654400,BLK
2024-04-11,752.247135414624,755.9054289434674,745.8307573242583,752.6876831054688,812000,BLK
2024-04-12,752.3045686817136,769.006276451032,729.799403679722,731.0827026367188,1453600,BLK
2024-04-15,738.1597899516415,745.2752455092414,724.2927968069315,730.6900024414062,935200,BLK
2024-04-16,732.2317919047277,734.3865415573458,717.0910866837172,717.933837890625,662900,BLK
2024-04-17,721.1611446716335,726.7731146644425,716.4111563422168,721.87939453125,585800,BLK
2024-04-18,722.7892258755523,729.1864312674157,715.1662377227335,715.6641845703125,614900,BLK
2024-04-19,719.581116556935,723.4500685567052,713.9883179257914,718.2307739257812,867800,BLK
2024-04-22,724.7141392855199,733.8598428647317,718.7765951689973,727.931884765625,617200,BLK
2024-04-23,730.9486360110308,736.8478366900265,728.7268424315479,734.1663818359375,461000,BLK
2024-04-24,730.508056640625,735.1431886134333,727.2903109552684,730.508056640625,751200,BLK
2024-04-25,722.3774179642057,728.4394632981275,716.3537166992743,725.5760498046875,510100,BLK
2024-04-26,727.6063876326931,734.9899598747047,725.671882353073,730.584716796875,447900,BLK
2024-04-29,731.0443335654716,736.8286770153331,723.852248324518,729.0524291992188,483700,BLK
2024-04-30,725.9496351842712,729.2153113233477,721.889137779056,722.693603515625,418600,BLK
2024-05-01,723.0383261597252,733.4098724231978,719.1310298321176,719.7631225585938,614800,BLK
2024-05-02,726.0645419428743,728.8417986860472,717.0816822899814,724.9536743164062,632500,BLK
2024-05-03,733.2854278500791,738.8877548476747,730.4124276561658,731.5711669921875,558300,BLK
2024-05-06,736.1870810714737,742.3448707499872,733.4098827972118,741.846923828125,450100,BLK
2024-05-07,747.4300002670456,752.984513137347,743.8004650071077,747.8609619140625,777400,BLK
2024-05-08,745.0646909280225,746.2617743003361,741.1191088089836,745.3807373046875,665700,BLK
2024-05-09,744.9689326461863,758.0027621133094,744.9689326461863,755.7235107421875,654800,BLK
2024-05-10,758.9795186700701,765.395837960904,758.5485570210948,762.9442138671875,607100,BLK
