Date,Open,High,Low,Close,Volume,Ticker
2024-04-01,123.40662260483748,123.64091526406607,121.93527214092828,122.7599868774414,5377600,MRK
2024-04-02,121.92590174511815,122.5444234779467,121.15741498299285,122.16019439697266,6584200,MRK
2024-04-03,122.16020259718766,123.9876825443078,121.2979929964078,121.73846435546875,7741400,MRK
2024-04-04,122.61004292944186,122.71313227721154,119.33931207755815,119.63921356201172,6753200,MRK
2024-04-05,119.62982125791075,120.52013756389087,119.02065897488093,119.94845581054688,5692900,MRK
2024-04-08,119.62045283202308,119.8828594516726,117.97103060131214,118.60830688476562,6282500,MRK
2024-04-09,118.62706412573493,119.02067408780987,117.62429180328037,118.74889373779297,4696600,MRK
2024-04-10,117.95228809140957,119.02066196539464,117.19318222043177,118.78636932373047,5787700,MRK
2024-04-11,118.59895264953073,119.15187991980719,117.57743288827888,118.22408294677734,6187200,MRK
2024-04-12,119.0581531234665,119.12375477904676,117.24003988303583,117.83982849121094,7370000,MRK
2024-04-15,118.73015148532872,119.78915174178834,117.96167184125079,118.26156616210938,6241000,MRK
2024-04-16,118.60830097267679,118.8332270497741,117.1744311938894,117.20254516601562,5587300,MRK
2024-04-17,117.77422702780112,118.2615597415162,116.87454411407045,117.49308013916016,6122800,MRK
2024-04-18,117.6336506235002,117.6336506235002,116.67773975705225,117.36187744140625,5992700,MRK
2024-04-19,117.75549735096995,118.19596871449843,117.04324563228465,117.87732696533203,8404300,MRK
2024-04-22,118.74888700600467,120.03281331432488,118.28967540961628,118.96443939208984,7805800,MRK
2024-04-23,120.05156725352727,120.05156725352727,118.77700743401178,118.90821075439453,7744000,MRK
2024-04-24,118.85198465177119,119.5736029251024,117.47434261627588,119.02067565917969,7128300,MRK
2024-04-25,121.54167330749813,124.45627482691938,120.67009709939377,122.5069580078125,12750100,MRK
2024-04-26,121.95401437712556,123.62217689596297,121.95401437712556,122.95677947998047,7758200,MRK
2024-04-29,123.44411988206349,123.89395779266243,121.20428258750198,121.94464111328125,6788000,MRK
2024-04-30,122.69438358340606,122.69438358340606,120.87627017806152,121.1011962890625,6945000,MRK
2024-05-01,120.52951585786239,121.76657365917971,119.77040993203988,120.70758056640625,5895700,MRK
2024-05-02,120.9512316265198,121.54165366238182,119.94845940137517,120.20149230957031,7422500,MRK
2024-05-03,119.96721252413666,120.40768388379823,119.18936630073847,119.4986343383789,6221900,MRK
2024-05-06,119.1893669840564,119.70481371641222,118.79575701573644,119.55486297607422,6552000,MRK
2024-05-07,119.11438310878202,122.23515580625245,119.08626913448728,122.18830871582031,6682300,MRK
2024-05-08,122.37574605809782,123.24730790471614,121.20428273731662,121.41046142578125,6659100,MRK
2024-05-09,120.83878564823571,122.30076957118736,120.83878564823571,122.0477294921875,9216700,MRK
2024-05-10,122.60067132178682,122.65689927278387,121.78532313206156,121.88841247558594,5722600,MRK
2024-05-13,121.37296487940398,121.56041044815639,119.97658977278697,121.16678619384766,7109700,MRK
2024-05-14,121.08243606035369,121.08243606035369,119.9859481979058,120.57637023925781,6154300,MRK
2024-05-15,120.78254092670879,123.67839439508826,120.63259021181922,123.4534683227539,7237100,MRK
2024-05-16,123.11611827808717,123.50036172206141,122.57255752077774,122.65691375732422,5518100,MRK
2024-05-17,122.47882529385708,123.06924733483045,121.65411060806422,122.9474105834961,8281600,MRK
2024-05-20,122.5912887267505,123.46286485512715,122.44133799282284,122.7599868774414,4860400,MRK
2024-05-21,123.40662890773646,124.44688893984542,122.28202694601889,122.54443359375,6254700,MRK
2024-05-22,121.99149155953103,123.33165291263931,121.97274414407892,122.86306762695312,4407500,MRK
2024-05-23,122.67562639822071,123.6315444187514,122.12269917363562,122.85369110107422,6830900,MRK
2024-05-24,123.19107151175778,123.19107151175778,121.0449571471868,121.3542251586914,5983800,MRK
2024-05-28,120.74506602941547,120.96999213887854,117.83983837427654,118.1678466796875,10263400,MRK
2024-05-29,118.21469554691322,118.50521613662914,117.40872828185223,117.98977661132812,8527800,MRK
2024-05-30,118.06475801411611,119.81726249987004,114.99083237030014,116.70585632324219,13000300,MRK
2024-05-31,117.26816138491645,118.65517709913894,116.72460783951956,117.65240478515625,18150500,MRK
2024-06-03,117.86794451177059,120.84814733853544,117.86794451177059,120.35144805908203,7702500,MRK
2024-06-04,119.16124657072322,121.23239279695682,118.90820649758318,120.62323760986328,6440100,MRK
2024-06-05,120.40768523767373,121.77596072564162,120.02345612606342,121.31674194335938,5009400,MRK
2024-06-06,121.0449663681996,122.70374814705802,120.80129284355479,122.31951904296875,8088500,MRK
2024-06-07,122.16020345663905,123.11610725103353,122.02900013387375,122.46009063720703,4945600,MRK
2024-06-10,122.42260173171317,123.40661943512738,121.50416423506314,123.22856903076172,6033700,MRK
2024-06-11,122.76935206624425,123.86583998319165,121.58852222493681,123.55657196044922,11453200,MRK
2024-06-12,124.36254178688358,124.37192264539483,121.98213463956239,122.01961517333984,5822000,MRK
2024-06-13,121.85092207787642,121.94463055525614,120.51076072054458,121.24175262451172,5004200,MRK
2024-06-14,121.0449538580428,121.7103369525212,120.56698771684688,121.34484100341797,7338500,MRK
2024-06-17,120.87347207998255,121.56169541334624,120.081535485569,120.20409393310547,8524000,MRK
2024-06-18,120.93002978813875,121.3636992237983,119.81754526389473,120.66604614257812,6532400,MRK
2024-06-20,120.10038524177283,122.96642155974318,119.49700841769285,122.24991607666016,10348400,MRK
2024-06-21,122.72132250010885,123.69238199267146,121.70312126423306,123.23985290527344,17170800,MRK
2024-06-24,123.75835839474507,125.68161741821616,123.43780323613538,125.35165405273438,8553800,MRK
2024-06-25,125.5024945158174,126.92609727483459,125.01226073629246,125.3139419555664,6750600,MRK
2024-06-26,125.74764572225597,125.79477308055974,123.96579713202985,123.9752197265625,8492100,MRK
2024-06-27,124.43716694666772,124.719988596202,119.52529143893976,122.39134216308594,11927600,MRK
2024-06-28,122.12736022031766,123.47553918584703,113.95349027583146,116.71582794189453,57055500,MRK
2024-07-01,118.20540466485666,121.79739074626552,117.94142819542384,120.58120727539062,11533000,MRK
2024-07-02,120.87346500682054,120.90174717053401,119.41215754386063,120.4114990234375,5645400,MRK
2024-07-03,120.383227649649,120.61892195881171,118.12999062947904,118.64851379394531,4002100,MRK
2024-07-05,119.28959626448257,119.35559037982895,117.76230182566093,119.21417236328125,6786700,MRK
2024-07-08,119.5441563394463,120.16638557461495,118.15827265239955,118.58251953125,5743400,MRK
2024-07-09,118.07341967803032,118.88420868091626,116.62154186339318,118.82764434814453,6339000,MRK
2024-07-10,118.67680706756406,120.18525654164198,118.62967251701173,120.01555633544922,4588500,MRK
2024-07-11,120.30779591586914,121.73138427174729,120.28893634438441,121.58997344970703,7048800,MRK
2024-07-12,121.99536561111533,122.49503638316722,120.03439447456704,120.44921875,7022300,MRK
2024-07-15,120.67547608090636,120.9960168616932,119.92125147827315,120.78860473632812,6918500,MRK
2024-07-16,120.55291933109415,121.64653710815327,118.03569882036399,118.26197052001953,8194400,MRK
2024-07-17,118.29025357357321,119.44044288060279,117.43232288977214,118.68621826171875,7628000,MRK
2024-07-18,118.12997930552211,118.41280813371365,115.36764197922041,117.14006042480469,9501400,MRK
2024-07-19,118.12999794231632,119.72328667977153,118.01686207749952,118.5730972290039,6848800,MRK
2024-07-22,118.74278229189787,119.25188282944086,117.87542901733677,118.49766540527344,4341800,MRK
2024-07-23,117.83772132077621,118.4316755657591,117.07407408330597,117.26262664794922,4285400,MRK
2024-07-24,117.81888012969986,118.95021001063076,117.54547385003056,118.71451568603516,6338500,MRK
2024-07-25,118.81821398425524,120.53406826724701,118.51652555623976,118.64851379394531,7357100,MRK
2024-07-26,119.95897240926678,121.36370846420733,117.89429517222514,118.09227752685547,6467000,MRK
2024-07-29,118.58251656011558,120.66605333524437,117.77172758246844,120.46807098388672,9139500,MRK
2024-07-30,116.41413479211988,116.84781145205046,107.39175704555129,108.65507507324219,35509400,MRK
2024-07-31,109.36216061652901,111.09686729789297,105.798463774876,106.65638732910156,22733000,MRK
2024-08-01,106.65638145829998,107.91970663959783,105.03481072521222,107.30690002441406,14117500,MRK
2024-08-02,108.57022065850711,110.58776319545345,107.8159960571284,108.60792541503906,16562300,MRK
2024-08-05,108.37223972267864,108.53251731833814,104.96881334659801,105.88330841064453,13334000,MRK
2024-08-06,105.87387562981095,106.60924064767849,104.57283857405875,104.78968048095703,9761900,MRK
2024-08-07,105.28936177540473,106.10958055835745,104.38429649394972,106.05300903320312,9756500,MRK
2024-08-08,106.4583916941207,107.69343462438654,106.12842113749193,107.40116882324219,8278200,MRK
2024-08-09,107.26918996551014,108.15540284595532,106.41126644337602,107.99513244628906,5914100,MRK
2024-08-12,108.14597055782833,108.14597055782833,106.63752849300495,106.98635864257812,6536000,MRK
