Ticker,Strategy,start_date,end_date,start_value,end_value,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,win_rate,Initial_Cash,Buy_Threshold,Sell_Threshold,Trades,Final_Shares,Final_Cash
MSFT,RSI,2015-02-02,2025-12-30,100000.0,363229.2609291077,2.6322926092910772,0.12575835282005432,0.19259400441008717,0.6529712760542596,-0.21814919230757757,0.19788629737609328,100000.0,30.0,70.0,59,748,210.85419082647422
QQQ,RSI,2015-02-02,2025-12-30,100000.0,222323.8976135253,1.223238976135253,0.07613331068136464,0.1664554095505258,0.45737961227541346,-0.24434545799659402,0.16326530612244897,100000.0,30.0,70.0,54,0,222323.8976135253
AAPL,RSI,2015-02-02,2025-12-30,100000.0,218005.0910243988,1.1800509102439882,0.07419634571721434,0.21332693127714467,0.34780580807597056,-0.30685627603790666,0.2033527696793003,100000.0,30.0,70.0,65,799,218.8022975921631
SPY,RSI,2015-02-02,2025-12-30,100000.0,196577.45568847648,0.9657745568847647,0.06403809608984412,0.14020562161187508,0.45674414016805903,-0.282842051873636,0.17018950437317784,100000.0,30.0,70.0,56,0,196577.45568847648
