Ticker,Strategy,start_date,end_date,start_value,end_value,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,win_rate,rank_total_return,rank_sharpe,rank_max_drawdown
AAPL,BuyHold,2015-02-02,2025-12-30,100000.0,1038244.55383873,9.382445538387298,0.2397486452950932,0.2877916957044956,0.833063110831617,-0.3851372122187726,0.5309766763848397,1,2,3
AAPL,MovingAverage,2015-02-02,2025-12-30,100000.0,553437.1102485653,4.534371102485653,0.1701484568259801,0.1895276313689942,0.8977501359404184,-0.3250296374050897,0.3349125364431486,2,1,2
AAPL,RSI,2015-02-02,2025-12-30,100000.0,218005.0910243988,1.1800509102439882,0.0741963457172143,0.2133269312771446,0.3478058080759705,-0.3068562760379066,0.2033527696793003,3,3,1
MSFT,BuyHold,2015-02-02,2025-12-30,100000.0,1385120.3791122437,12.851203791122437,0.2730061050663435,0.2672735763207421,1.0214481686686527,-0.3714766942941718,0.5364431486880467,1,1,3
MSFT,RSI,2015-02-02,2025-12-30,100000.0,363229.2609291077,2.6322926092910772,0.1257583528200543,0.1925940044100871,0.6529712760542596,-0.2181491923075775,0.1978862973760932,2,3,1
MSFT,MovingAverage,2015-02-02,2025-12-30,100000.0,360881.9632987977,2.608819632987977,0.1250882727116804,0.1887371675459501,0.6627643846632715,-0.323421620786873,0.3469387755102041,3,2,2
QQQ,BuyHold,2015-02-02,2025-12-30,100000.0,659508.9423828125,5.595089423828125,0.1891442850867779,0.2200279620341597,0.859637490335946,-0.351163650857338,0.5623177842565598,1,2,3
QQQ,MovingAverage,2015-02-02,2025-12-30,100000.0,389051.3143844605,2.890513143844605,0.1328810334093995,0.1370630406510978,0.9694884396126604,-0.2462045934586633,0.3739067055393586,2,1,2
QQQ,RSI,2015-02-02,2025-12-30,100000.0,222323.8976135253,1.223238976135253,0.0761333106813646,0.1664554095505258,0.4573796122754134,-0.244345457996594,0.1632653061224489,3,3,1
SPY,BuyHold,2015-02-02,2025-12-30,100000.0,409716.6060180664,3.0971660601806636,0.1382783896580557,0.1779772383025513,0.7769442372343716,-0.3371661380992248,0.549198250728863,1,1,3
SPY,MovingAverage,2015-02-02,2025-12-30,100000.0,234655.1597290039,1.3465515972900397,0.0814814921311364,0.1070882408872253,0.7608817873565095,-0.2258675571926401,0.3735422740524781,2,2,1
SPY,RSI,2015-02-02,2025-12-30,100000.0,196577.45568847648,0.9657745568847648,0.0640380960898441,0.140205621611875,0.456744140168059,-0.282842051873636,0.1701895043731778,3,3,2
