Ticker,Strategy,start_date,end_date,start_value,end_value,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,win_rate,Initial_Cash,Shares,Remaining_Cash
MSFT,BuyHold,2015-02-02,2025-12-30,100000.0,1385120.3791122437,12.851203791122437,0.2730061050663435,0.26727357632074217,1.0214481686686527,-0.37147669429417185,0.5364431486880467,100000.0,2854,20.736289978027344
AAPL,BuyHold,2015-02-02,2025-12-30,100000.0,1038244.5538387299,9.382445538387298,0.2397486452950932,0.2877916957044956,0.833063110831617,-0.3851372122187726,0.5309766763848397,100000.0,3809,11.795690536499023
QQQ,BuyHold,2015-02-02,2025-12-30,100000.0,659508.9423828125,5.595089423828125,0.18914428508677794,0.22002796203415978,0.859637490335946,-0.351163650857338,0.5623177842565598,100000.0,1066,28.146484375
SPY,BuyHold,2015-02-02,2025-12-30,100000.0,409716.6060180664,3.0971660601806636,0.13827838965805572,0.17797723830255133,0.7769442372343716,-0.3371661380992248,0.549198250728863,100000.0,598,3.53424072265625
