Date,Ticker,Close,RSI,Strategy,Buy_Threshold,Sell_Threshold,Raw_Signal,Position,Trade_Shares,Shares,Cash,Portfolio_Value,Daily_Return,Cumulative_Return
2015-02-02,AAPL,26.250513076782227,66.03968422417961,RSI,30.0,70.0,0,0,0,0,100000.0,100000.0,0.0,0.0
2015-02-03,AAPL,26.254940032958984,64.8992524216469,RSI,30.0,70.0,0,0,0,0,100000.0,100000.0,0.0,0.0
2015-02-04,AAPL,26.45630645751953,66.9561719768763,RSI,30.0,70.0,0,0,0,0,100000.0,100000.0,0.0,0.0
2015-02-05,AAPL,26.645132064819336,75.50017156131142,RSI,30.0,70.0,0,0,0,0,100000.0,100000.0,0.0,0.0
2015-02-06,AAPL,26.42076110839844,74.98274464939605,RSI,30.0,70.0,0,0,0,0,100000.0,100000.0,0.0,0.0
2015-02-09,AAPL,26.596261978149418,73.03676692793842,RSI,30.0,70.0,0,0,0,0,100000.0,100000.0,0.0,0.0
2015-02-10,AAPL,27.10721206665039,74.54854919813059,RSI,30.0,70.0,0,0,0,0,100000.0,100000.0,0.0,0.0
2015-02-11,AAPL,27.742570877075195,74.56902420111825,RSI,30.0,70.0,0,0,0,0,100000.0,100000.0,0.0,0.0
2015-02-12,AAPL,28.093578338623047,75.50273366343612,RSI,30.0,70.0,0,0,0,0,100000.0,100000.0,0.0,0.0
2015-02-13,AAPL,28.231311798095703,75.94377237168423,RSI,30.0,70.0,0,0,0,0,100000.0,100000.0,0.0,0.0
2015-02-17,AAPL,28.39792823791504,88.85142856544685,RSI,30.0,70.0,0,0,0,0,100000.0,100000.0,0.0,0.0
2015-02-18,AAPL,28.59564781188965,85.82325582220871,RSI,30.0,70.0,0,0,0,0,100000.0,100000.0,0.0,0.0
2015-02-19,AAPL,28.535661697387695,81.21906867823725,RSI,30.0,70.0,0,0,0,0,100000.0,100000.0,0.0,0.0
2015-02-20,AAPL,28.768930435180664,91.66699271696793,RSI,30.0,70.0,0,0,0,0,100000.0,100000.0,0.0,0.0
2015-02-23,AAPL,29.54646873474121,92.64213799230092,RSI,30.0,70.0,0,0,0,0,100000.0,100000.0,0.0,0.0
2015-02-24,AAPL,29.36207389831543,88.4105340347221,RSI,30.0,70.0,0,0,0,0,100000.0,100000.0,0.0,0.0
2015-02-25,AAPL,28.61119842529297,73.45258102443856,RSI,30.0,70.0,0,0,0,0,100000.0,100000.0,0.0,0.0
2015-02-26,AAPL,28.973312377929688,74.41753560399266,RSI,30.0,70.0,0,0,0,0,100000.0,100000.0,0.0,0.0
2015-02-27,AAPL,28.53788375854492,71.26268694227636,RSI,30.0,70.0,0,0,0,0,100000.0,100000.0,0.0,0.0
2015-03-02,AAPL,28.67784309387207,71.05605568911024,RSI,30.0,70.0,0,0,0,0,100000.0,100000.0,0.0,0.0
2015-03-03,AAPL,28.73782730102539,68.15027340734592,RSI,30.0,70.0,0,0,0,0,100000.0,100000.0,0.0,0.0
