Date,Ticker,Close,Strategy,Shares,Cash,Portfolio_Value,Daily_Return,Cumulative_Return
2015-02-02,AAPL,26.250513076782227,BuyHold,3809,11.795690536499023,100000.0,0.0,0.0
2015-02-03,AAPL,26.254940032958984,BuyHold,3809,11.795690536499023,100016.86227607727,0.00016862276077267424,0.00016862276077267424
2015-02-04,AAPL,26.45630645751953,BuyHold,3809,11.795690536499023,100783.8669872284,0.007668753985042631,0.007838669872283877
2015-02-05,AAPL,26.645132064819336,BuyHold,3809,11.795690536499023,101503.10372543335,0.007136427284498925,0.015031037254333413
2015-02-06,AAPL,26.42076110839844,BuyHold,3809,11.795690536499023,100648.47475242616,-0.00841973241841909,0.006484747524261536
2015-02-09,AAPL,26.596261978149418,BuyHold,3809,11.795690536499023,101316.95756530763,0.006641758005034859,0.013169575653076304
2015-02-10,AAPL,27.10721206665039,BuyHold,3809,11.795690536499023,103263.16645240784,0.01920911300406658,0.032631664524078285
2015-02-11,AAPL,27.742570877075195,BuyHold,3809,11.795690536499023,105683.24816131592,0.02343605945904681,0.056832481613159125
2015-02-12,AAPL,28.093578338623047,BuyHold,3809,11.795690536499023,107020.23558235168,0.012650892589854745,0.07020235582351675
2015-02-13,AAPL,28.231311798095703,BuyHold,3809,11.795690536499023,107544.86232948303,0.004902126633123061,0.07544862329483037
2015-02-17,AAPL,28.39792823791504,BuyHold,3809,11.795690536499023,108179.50434875488,0.005901183985223879,0.08179504348754874
2015-02-18,AAPL,28.59564781188965,BuyHold,3809,11.795690536499023,108932.61820602417,0.006961705563387932,0.08932618206024179
2015-02-19,AAPL,28.535661697387695,BuyHold,3809,11.795690536499023,108704.13109588623,-0.0020975086608659987,0.08704131095886236
2015-02-20,AAPL,28.768930435180664,BuyHold,3809,11.795690536499023,109592.65171813965,0.00817375212235194,0.09592651718139655
2015-02-23,AAPL,29.54646873474121,BuyHold,3809,11.795690536499023,112554.29510116577,0.027024105508854257,0.1255429510116577
2015-02-24,AAPL,29.36207389831543,BuyHold,3809,11.795690536499023,111851.93516921997,-0.0062401877361899505,0.11851935169219963
2015-02-25,AAPL,28.61119842529297,BuyHold,3809,11.795690536499023,108991.85049247742,-0.025570274420514516,0.08991850492477416
2015-02-26,AAPL,28.973312377929688,BuyHold,3809,11.795690536499023,110371.14253807068,0.01265500162958011,0.10371142538070677
2015-02-27,AAPL,28.53788375854492,BuyHold,3809,11.795690536499023,108712.59492683409,-0.015027004098145502,0.08712594926834094
2015-03-02,AAPL,28.67784309387207,BuyHold,3809,11.795690536499023,109245.70003509521,0.0049038026239729415,0.09245700035095217
2015-03-03,AAPL,28.73782730102539,BuyHold,3809,11.795690536499023,109474.17988014221,0.002091431012603673,0.09474179880142208
2015-03-04,AAPL,28.55565071105957,BuyHold,3809,11.795690536499023,108780.2692489624,-0.006338578027618391,0.08780269248962402
2015-03-05,AAPL,28.08247756958008,BuyHold,3809,11.795690536499023,106977.95275306703,-0.01656841363179984,0.0697795275306703
2015-03-06,AAPL,28.124679565429688,BuyHold,3809,11.795690536499023,107138.70015525818,0.00150262178378191,0.07138700155258171
2015-03-09,AAPL,28.244644165039062,BuyHold,3809,11.795690536499023,107595.64531517029,0.004264986967827067,0.07595645315170296
2015-03-10,AAPL,27.660381317138672,BuyHold,3809,11.795690536499023,105370.1881275177,-0.02068352470152257,0.053701881275177055
2015-03-11,AAPL,27.156085968017575,BuyHold,3809,11.795690536499023,103449.32714271544,-0.018229643687051822,0.034493271427154415
2015-03-12,AAPL,27.647048950195312,BuyHold,3809,11.795690536499023,105319.40514183044,0.018077236950368114,0.05319405141830447
2015-03-13,AAPL,27.45600128173828,BuyHold,3809,11.795690536499023,104591.70457267761,-0.006909463343178435,0.04591704572677613
2015-03-16,AAPL,27.75813102722168,BuyHold,3809,11.795690536499023,105742.51677322388,0.011002901284074662,0.057425167732238824
2015-03-17,AAPL,28.222431182861328,BuyHold,3809,11.795690536499023,107511.0360660553,0.01672477019460583,0.07511036066055299
2015-03-18,AAPL,28.540103912353516,BuyHold,3809,11.795690536499023,108721.05149269104,0.011254802026950061,0.08721051492691045
2015-03-19,AAPL,28.32461929321289,BuyHold,3809,11.795690536499023,107900.2705783844,-0.007549420310396959,0.07900270578384405
2015-03-20,AAPL,27.969173431396484,BuyHold,3809,11.795690536499023,106546.37729072571,-0.012547635704723725,0.06546377290725713
2015-03-23,AAPL,28.26020050048828,BuyHold,3809,11.795690536499023,107654.89939689636,0.0104041276142679,0.07654899396896364
2015-03-24,AAPL,28.14466857910156,BuyHold,3809,11.795690536499023,107214.83830833434,-0.004087701451836678,0.07214838308334337
2015-03-25,AAPL,27.40934181213379,BuyHold,3809,11.795690536499023,104413.9786529541,-0.026123806178071862,0.04413978652954098
2015-03-26,AAPL,27.600400924682617,BuyHold,3809,11.795690536499023,105141.72281265259,0.006969796277156881,0.05141722812652594
2015-03-27,AAPL,27.380462646484375,BuyHold,3809,11.795690536499023,104303.97791099548,-0.007967768448590484,0.04303977910995482
2015-03-30,AAPL,28.07358741760254,BuyHold,3809,11.795690536499023,106944.09016418457,0.025311712036926837,0.0694409016418458
2015-03-31,AAPL,27.642606735229492,BuyHold,3809,11.795690536499023,105302.48474502563,-0.015350127497823274,0.053024847450256374
2015-04-01,AAPL,27.602619171142575,BuyHold,3809,11.795690536499023,105150.17211341856,-0.0014464296068215088,0.05150172113418572
2015-04-02,AAPL,27.84032440185547,BuyHold,3809,11.795690536499023,106055.59133720398,0.008610725076215742,0.060555913372039694
2015-04-06,AAPL,28.29129981994629,BuyHold,3809,11.795690536499023,107773.35670471191,0.01619683927881077,0.07773356704711909
2015-04-07,AAPL,27.993614196777344,BuyHold,3809,11.795690536499023,106639.4721660614,-0.010521009768279188,0.066394721660614
2015-04-08,AAPL,27.902524948120117,BuyHold,3809,11.795690536499023,106292.51321792603,-0.0032535696312814277,0.06292513217926032
2015-04-09,AAPL,28.11579704284668,BuyHold,3809,11.795690536499023,107104.8666267395,0.007642621142544215,0.07104866626739503
2015-04-10,AAPL,28.23575782775879,BuyHold,3809,11.795690536499023,107561.79725646973,0.0042661985782832534,0.07561797256469727
2015-04-13,AAPL,28.180221557617188,BuyHold,3809,11.795690536499023,107350.25960350037,-0.0019666615691161793,0.07350259603500375
2015-04-14,AAPL,28.058029174804688,BuyHold,3809,11.795690536499023,106884.82881736755,-0.004335627951454257,0.06884828817367561
2015-04-15,AAPL,28.164674758911133,BuyHold,3809,11.795690536499023,107291.041847229,0.0038004741585500046,0.07291041847228996
2015-04-16,AAPL,28.029150009155273,BuyHold,3809,11.795690536499023,106774.82807540894,-0.004811340843861922,0.06774828075408945
2015-04-17,AAPL,27.713695526123047,BuyHold,3809,11.795690536499023,105573.26194953918,-0.011253271464142789,0.055732619495391766
2015-04-20,AAPL,28.346834182739254,BuyHold,3809,11.795690536499023,107984.88709259032,0.022843143221281004,0.07984887092590309
2015-04-21,AAPL,28.193546295166016,BuyHold,3809,11.795690536499023,107401.01352882385,-0.0054069933255180835,0.07401013528823852
2015-04-22,AAPL,28.57343482971191,BuyHold,3809,11.795690536499023,108848.00895690917,0.013472828426306815,0.08848008956909159
2015-04-23,AAPL,28.806690216064453,BuyHold,3809,11.795690536499023,109736.478723526,0.00816248064738212,0.0973647872352601
2015-04-24,AAPL,28.942203521728516,BuyHold,3809,11.795690536499023,110252.64890480042,0.004703724661831554,0.10252648904800421
2015-04-27,AAPL,29.46870994567871,BuyHold,3809,11.795690536499023,112258.11187362671,0.0181897032746845,0.12258111873626709
2015-04-28,AAPL,29.00440788269043,BuyHold,3809,11.795690536499023,110489.58531570435,-0.015754109243466208,0.10489585315704342
2015-04-29,AAPL,28.5778751373291,BuyHold,3809,11.795690536499023,108864.92208862305,-0.01470422051489384,0.0886492208862304
2015-04-30,AAPL,27.802562713623047,BuyHold,3809,11.795690536499023,105911.75706672668,-0.027126873975919397,0.05911757066726686
2015-05-01,AAPL,28.646738052368164,BuyHold,3809,11.795690536499023,109127.22093200684,0.03035983874060677,0.09127220932006841
2015-05-04,AAPL,28.59120750427246,BuyHold,3809,11.795690536499023,108915.7050743103,-0.001938250199080227,0.08915705074310298
2015-05-05,AAPL,27.94695472717285,BuyHold,3809,11.795690536499023,106461.74624633789,-0.022530807896787186,0.06461746246337885
2015-05-06,AAPL,27.771453857421875,BuyHold,3809,11.795690536499023,105793.26343345642,-0.006279089310959551,0.057932634334564304
2015-05-07,AAPL,27.94322395324707,BuyHold,3809,11.795690536499023,106447.53572845459,0.006184441936699425,0.06447535728454601
2015-05-08,AAPL,28.46969985961914,BuyHold,3809,11.795690536499023,108452.8824558258,0.018838827161643312,0.08452882455825805
2015-05-11,AAPL,28.179689407348633,BuyHold,3809,11.795690536499023,107348.23264312744,-0.010185527463028032,0.0734823264312745
2015-05-12,AAPL,28.079315185546875,BuyHold,3809,11.795690536499023,106965.90723228455,-0.0035615435990820066,0.0696590723228454
2015-05-13,AAPL,28.11054420471191,BuyHold,3809,11.795690536499023,107084.85856628417,0.001112049035785878,0.07084858566284158
2015-05-14,AAPL,28.76639747619629,BuyHold,3809,11.795690536499023,109583.00367736816,0.02332864930234435,0.09583003677368174
2015-05-15,AAPL,28.726247787475582,BuyHold,3809,11.795690536499023,109430.07351303099,-0.0013955646332475258,0.09430073513031001
2015-05-18,AAPL,29.043018341064453,BuyHold,3809,11.795690536499023,110636.652551651,0.011026027854000642,0.10636652551651005
2015-05-19,AAPL,29.01625633239746,BuyHold,3809,11.795690536499023,110534.71606063843,-0.0009213627551230008,0.10534716060638427
2015-05-20,AAPL,29.01402473449707,BuyHold,3809,11.795690536499023,110526.21590423584,-7.690033236185112e-05,0.10526215904235836
2015-05-21,AAPL,29.310728073120117,BuyHold,3809,11.795690536499023,111656.35892105103,0.010225112726146124,0.11656358921051035
2015-05-22,AAPL,29.567258834838867,BuyHold,3809,11.795690536499023,112633.48459243774,0.008751186952796974,0.12633484592437738
2015-05-26,AAPL,28.915861129760746,BuyHold,3809,11.795690536499023,110152.31073379518,-0.02202874098782126,0.10152310733795189
2015-05-27,AAPL,29.455726623535156,BuyHold,3809,11.795690536499023,112208.65839958191,0.018668220866980167,0.12208658399581918
2015-05-28,AAPL,29.397720336914062,BuyHold,3809,11.795690536499023,111987.71245384216,-0.0019690632513664763,0.11987712453842159
2015-05-29,AAPL,29.063098907470703,BuyHold,3809,11.795690536499023,110713.1394290924,-0.011381364944614725,0.107131394290924
2015-06-01,AAPL,29.121097564697266,BuyHold,3809,11.795690536499023,110934.05631446838,0.0019953989789753823,0.10934056314468377
2015-06-02,AAPL,28.991716384887695,BuyHold,3809,11.795690536499023,110441.24340057373,-0.004442395151383116,0.1044124340057373
2015-06-03,AAPL,29.027406692504883,BuyHold,3809,11.795690536499023,110577.1877822876,0.0012309204200173784,0.105771877822876
2015-06-04,AAPL,28.85786819458008,BuyHold,3809,11.795690536499023,109931.41564369203,-0.00584001231670872,0.09931415643692021
2015-06-05,AAPL,28.6994686126709,BuyHold,3809,11.795690536499023,109328.07163619995,-0.005488367487667345,0.09328071636199953
2015-06-08,AAPL,28.509855270385746,BuyHold,3809,11.795690536499023,108605.8344154358,-0.00660614616132138,0.08605834415435809
2015-06-09,AAPL,28.425079345703125,BuyHold,3809,11.795690536499023,108282.9229183197,-0.0029732426333645146,0.08282922918319713
2015-06-10,AAPL,28.75078010559082,BuyHold,3809,11.795690536499023,109523.51711273193,0.011456969954052987,0.09523517112731938
2015-06-11,AAPL,28.68608856201172,BuyHold,3809,11.795690536499023,109277.10702323914,-0.002249837258596843,0.0927710702323914
2015-06-12,AAPL,28.369319915771484,BuyHold,3809,11.795690536499023,108070.53524971008,-0.011041395644491803,0.08070535249710087
2015-06-15,AAPL,28.31354331970215,BuyHold,3809,11.795690536499023,107858.08219528198,-0.0019658739908819944,0.0785808219528199
2015-06-16,AAPL,28.465242385864254,BuyHold,3809,11.795690536499023,108435.90393829344,0.00535724102682722,0.08435903938293432
2015-06-17,AAPL,28.3983154296875,BuyHold,3809,11.795690536499023,108180.97916221619,-0.0023509259093954515,0.08180979162216184
2015-06-18,AAPL,28.52770233154297,BuyHold,3809,11.795690536499023,108673.81387138367,0.00455565029069005,0.08673813871383662
2015-06-19,AAPL,28.242158889770508,BuyHold,3809,11.795690536499023,107586.17890167236,-0.010008252503206805,0.07586178901672369
2015-06-22,AAPL,28.46746826171875,BuyHold,3809,11.795690536499023,108444.38229942322,0.007976892631675225,0.08444382299423214
2015-06-23,AAPL,28.338077545166016,BuyHold,3809,11.795690536499023,107951.53306007385,-0.004544718950849624,0.07951533060073857
2015-06-24,AAPL,28.579015731811523,BuyHold,3809,11.795690536499023,108869.26661300659,0.008501348030157452,0.08869266613006599
2015-06-25,AAPL,28.442934036254883,BuyHold,3809,11.795690536499023,108350.93143463135,-0.004761078994109047,0.08350931434631348
2015-06-26,AAPL,28.27562141418457,BuyHold,3809,11.795690536499023,107713.63765716553,-0.005881756335895494,0.07713637657165529
2015-06-29,AAPL,27.780378341674805,BuyHold,3809,11.795690536499023,105827.25679397583,-0.01751292505034252,0.05827256793975821
2015-06-30,AAPL,27.981151580810547,BuyHold,3809,11.795690536499023,106592.00206184387,0.007226354448144123,0.06592002061843871
2015-07-01,AAPL,28.242158889770508,BuyHold,3809,11.795690536499023,107586.17890167236,0.009326936548688547,0.07586178901672369
2015-07-02,AAPL,28.20646095275879,BuyHold,3809,11.795690536499023,107450.20545959473,-0.0012638560404855115,0.07450205459594716
2015-07-06,AAPL,28.108308792114254,BuyHold,3809,11.795690536499023,107076.34387969969,-0.003479393811262832,0.07076343879699687
2015-07-07,AAPL,28.039154052734375,BuyHold,3809,11.795690536499023,106812.93347740173,-0.0024600242476890966,0.06812933477401728
2015-07-08,AAPL,27.343137741088867,BuyHold,3809,11.795690536499023,104161.807346344,-0.024820272646276842,0.04161807346343993
2015-07-09,AAPL,26.785436630249023,BuyHold,3809,11.795690536499023,102037.52381515503,-0.02039407327222731,0.02037523815155029
2015-07-10,AAPL,27.501523971557617,BuyHold,3809,11.795690536499023,104765.10049819946,0.02673111401630579,0.047651004981994705
2015-07-13,AAPL,28.032461166381836,BuyHold,3809,11.795690536499023,106787.44027328491,0.019303563548055847,0.06787440273284906
2015-07-14,AAPL,28.02130699157715,BuyHold,3809,11.795690536499023,106744.95402145386,-0.00039785813502346556,0.06744954021453853
2015-07-15,AAPL,28.291240692138672,BuyHold,3809,11.795690536499023,107773.1314868927,0.00963209432112544,0.07773131486892693
2015-07-16,AAPL,28.66824531555176,BuyHold,3809,11.795690536499023,109209.14209747316,0.013324384201967021,0.09209142097473166
2015-07-17,AAPL,28.915861129760746,BuyHold,3809,11.795690536499023,110152.31073379518,0.008636352398778246,0.10152310733795189
2015-07-20,AAPL,29.46240997314453,BuyHold,3809,11.795690536499023,112234.11527824402,0.018899327037087188,0.12234115278244029
2015-07-21,AAPL,29.16794776916504,BuyHold,3809,11.795690536499023,111112.50874328613,-0.009993454594240503,0.11112508743286131
2015-07-22,AAPL,27.934310913085938,BuyHold,3809,11.795690536499023,106413.58595848083,-0.042289773113319495,0.06413585958480827
2015-07-23,AAPL,27.920921325683594,BuyHold,3809,11.795690536499023,106362.58502006531,-0.0004792709310202925,0.06362585020065303
2015-07-24,AAPL,27.773685455322266,BuyHold,3809,11.795690536499023,105801.76358985901,-0.005272732230986121,0.05801763589858999
2015-07-27,AAPL,27.38774681091309,BuyHold,3809,11.795690536499023,104331.72329330446,-0.013894289156210715,0.04331723293304468
2015-07-28,AAPL,27.523836135864254,BuyHold,3809,11.795690536499023,104850.08753204344,0.004968424007353089,0.048500875320434345
2015-07-29,AAPL,27.436830520629883,BuyHold,3809,11.795690536499023,104518.68314361572,-0.0031607449858012115,0.045186831436157204
2015-07-30,AAPL,27.298524856567383,BuyHold,3809,11.795690536499023,103991.87686920166,-0.005040307230910979,0.039918768692016604
2015-07-31,AAPL,27.059823989868164,BuyHold,3809,11.795690536499023,103082.66526794434,-0.008743102140573056,0.0308266526794434
2015-08-03,AAPL,26.421815872192383,BuyHold,3809,11.795690536499023,100652.49234771729,-0.02357499113852235,0.006524923477172928
2015-08-04,AAPL,25.574098587036133,BuyHold,3809,11.795690536499023,97423.53720855713,-0.03208023034348029,-0.025764627914428684
2015-08-05,AAPL,25.743648529052734,BuyHold,3809,11.795690536499023,98069.35293769836,0.006628949714263754,-0.01930647062301638
2015-08-06,AAPL,25.79966735839844,BuyHold,3809,11.795690536499023,98282.72865867616,0.0021757635243433437,-0.01717271341323834
2015-08-07,AAPL,25.887060165405273,BuyHold,3809,11.795690536499023,98615.60786056519,0.003386955230405553,-0.013843921394348091
2015-08-10,AAPL,26.82824325561523,BuyHold,3809,11.795690536499023,102200.57425117491,0.03635293102567072,0.022005742511749027
2015-08-11,AAPL,25.432147979736328,BuyHold,3809,11.795690536499023,96882.84734535217,-0.05203226053068488,-0.031171526546478256
2015-08-12,AAPL,25.824312210083008,BuyHold,3809,11.795690536499023,98376.60089874268,0.015418142574462168,-0.01623399101257328
2015-08-13,AAPL,25.80414772033691,BuyHold,3809,11.795690536499023,98299.79435729979,-0.0007807399395913794,-0.017002056427002143
2015-08-14,AAPL,25.985658645629883,BuyHold,3809,11.795690536499023,98991.16947174072,0.007033332256300762,-0.010088305282592747
2015-08-17,AAPL,26.25457000732422,BuyHold,3809,11.795690536499023,100015.45284843445,0.010347219677873776,0.00015452848434449606
2015-08-18,AAPL,26.106666564941406,BuyHold,3809,11.795690536499023,99452.08863639832,-0.00563277169668841,-0.00547911363601683
2015-08-19,AAPL,25.772775650024418,BuyHold,3809,11.795690536499023,98180.2981414795,-0.01278797169930268,-0.01819701858520495
2015-08-20,AAPL,25.24392318725586,BuyHold,3809,11.795690536499023,96165.89911079407,-0.02051734481171219,-0.03834100889205938
2015-08-21,AAPL,23.699926376342773,BuyHold,3809,11.795690536499023,90284.81525802612,-0.06115560616754867,-0.09715184741973881
2015-08-24,AAPL,23.10833168029785,BuyHold,3809,11.795690536499023,88031.43106079102,-0.024958617800735716,-0.11968568939208979
2015-08-25,AAPL,23.247255325317383,BuyHold,3809,11.795690536499023,88560.59122467041,0.006011036711580653,-0.11439408775329585
2015-08-26,AAPL,24.58060836791992,BuyHold,3809,11.795690536499023,93639.33296394347,0.057347649434597026,-0.06360667036056533
2015-08-27,AAPL,25.304424285888672,BuyHold,3809,11.795690536499023,96396.34779548645,0.02944291404344579,-0.03603652204513552
2015-08-28,AAPL,25.38733673095703,BuyHold,3809,11.795690536499023,96712.16129875183,0.003276197807155601,-0.03287838701248169
2015-08-31,AAPL,25.268564224243164,BuyHold,3809,11.795690536499023,96259.75682067871,-0.00467784477151334,-0.0374024317932129
2015-09-01,AAPL,24.139141082763672,BuyHold,3809,11.795690536499023,91957.78407478333,-0.044691290399886285,-0.08042215925216678
2015-09-02,AAPL,25.174448013305664,BuyHold,3809,11.795690536499023,95901.26817321777,0.042883635552021016,-0.040987318267822315
2015-09-03,AAPL,24.732988357543945,BuyHold,3809,11.795690536499023,94219.74834442139,-0.01753386436724913,-0.057802516555786165
2015-09-04,AAPL,24.48649024963379,BuyHold,3809,11.795690536499023,93280.8370513916,-0.009965122063344767,-0.06719162948608404
2015-09-08,AAPL,25.16773223876953,BuyHold,3809,11.795690536499023,95875.68778800964,0.027817618480293627,-0.04124312211990355
2015-09-09,AAPL,24.68368911743164,BuyHold,3809,11.795690536499023,94031.96753883362,-0.01923032096784194,-0.05968032461166384
2015-09-10,AAPL,25.22599220275879,BuyHold,3809,11.795690536499023,96097.59999084473,0.021967342660973666,-0.03902400009155271
2015-09-11,AAPL,25.593502044677734,BuyHold,3809,11.795690536499023,97497.44497871399,0.014566908934277478,-0.025025550212860126
2015-09-14,AAPL,25.839998245239254,BuyHold,3809,11.795690536499023,98436.34900665282,0.009630037260400126,-0.015636509933471876
2015-09-15,AAPL,26.057369232177734,BuyHold,3809,11.795690536499023,99264.31509590149,0.008411182430107411,-0.007356849040985103
2015-09-16,AAPL,26.08650779724121,BuyHold,3809,11.795690536499023,99375.30389022827,0.0011181137372433536,-0.006246961097717274
2015-09-17,AAPL,25.52851104736328,BuyHold,3809,11.795690536499023,97249.89426994324,-0.021387704359956516,-0.027501057300567622
2015-09-18,AAPL,25.423194885253903,BuyHold,3809,11.795690536499023,96848.74500846861,-0.004124932623177258,-0.031512549915313826
2015-09-21,AAPL,25.817598342895508,BuyHold,3809,11.795690536499023,98351.02777862549,0.015511638999818889,-0.016489722213745117
2015-09-22,AAPL,25.411985397338867,BuyHold,3809,11.795690536499023,96806.04806900024,-0.01570883136170964,-0.03193951930999761
2015-09-23,AAPL,25.61815071105957,BuyHold,3809,11.795690536499023,97591.3317489624,0.008111927876680136,-0.024086682510375934
2015-09-24,AAPL,25.77052879333496,BuyHold,3809,11.795690536499023,98171.73986434937,0.005947332667618044,-0.01828260135650639
2015-09-25,AAPL,25.705551147460938,BuyHold,3809,11.795690536499023,97924.24001121521,-0.0025210906262448374,-0.020757599887847866
