Ticker,Strategy,start_date,end_date,start_value,end_value,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,win_rate,Initial_Cash,Short_Window,Long_Window,Trades,Final_Shares,Final_Cash
AAPL,MovingAverage,2015-02-02,2025-12-30,100000.0,553437.1102485653,4.534371102485653,0.17014845682598012,0.18952763136899428,0.8977501359404184,-0.3250296374050897,0.33491253644314867,100000.0,5,20,136,0,553437.1102485653
QQQ,MovingAverage,2015-02-02,2025-12-30,100000.0,389051.31438446045,2.8905131438446046,0.1328810334093995,0.13706304065109784,0.9694884396126605,-0.2462045934586633,0.3739067055393586,100000.0,5,20,149,628,539.1757125854492
MSFT,MovingAverage,2015-02-02,2025-12-30,100000.0,360881.9632987977,2.608819632987977,0.12508827271168044,0.18873716754595019,0.6627643846632715,-0.323421620786873,0.3469387755102041,100000.0,5,20,177,743,290.15018844616134
SPY,MovingAverage,2015-02-02,2025-12-30,100000.0,234655.15972900394,1.3465515972900395,0.08148149213113642,0.1070882408872253,0.7608817873565095,-0.22586755719264018,0.37354227405247814,100000.0,5,20,147,342,337.65045166018535
